snp-dists 0.8.2	Met4847	Met4853	Met4860	Met4861	Met4873	Met4880	Met5664	Met5668	Met5673	Met5678	Met5680	Met5682	Met5694	Met5696	Met5700	Met5701	Met5709	Met5712	Met5722	Met5723	Met5727	Met5734	Met5737	Met5739	Met5740	Met5742	Met5746	Met5749	Met5750	Met5752	Met5753	Met5754	Met5755	Met5762	Met5763	Met5764	Met5766	Met5769	Met5776	Met5778	Met5781	Met5782	Met5787	Met5788	Met5789	Met5796	Met5798	Met5799	Met5800	Met5801	Met5804	Met5805	Met5806	Met6291	Met7489	Met7502	Met7520	Met7521	Met7522	Met7523	Met7524	Met7526	Met8572	Met8574	Met8578	Met8579	Met8580	Met8583	Met8586	Met8592	Met8596	Met8597	Met8602	Met8603	Met8605	Met8610	Met8611	Met8612	Met8616	Met8623	Met8625	Met8626	Met8638	Met8639	Met8641	Met8644	Met8646	Met8649	Met8650	Met8651	Met8653	Met8654	Met8655	Met8661	Met8662	Met8665	Met8699	Met8703	Met8721	Met8727	Met8730	Met8732	Reference
Met5680	82	16	128	59	11	4029	18	7	182	10	0	3849	3391	28	26	22	4189	7	12	82	10	302	1235	29	36	4845	59	108	94	70	60	4758	231	13	4752	4900	4488	36	10	3770	130	122	4871	4850	14	4669	3698	19	4826	4925	4869	4833	432	20	18	11	15	30	11	1109	4510	12	20	4266	135	53	436	1000	4849	20	46	22	1	12	37	4170	1128	44	52	122	163	492	4736	4802	4516	4926	4881	689	633	428	21	26	4711	2407	18	23	123	4807	2587	14	32	21	4828
Met5682	3871	545	243	6	10638	10101	10363	5181	5273	4592	3849	0	21	8	10290	10	10738	5410	3579	22	20	3938	5591	5255	3204	11749	11	15	21	4381	4710	11489	3973	20	10746	10946	9941	9302	1093	9105	2585	2926	35	35	10336	11149	9605	14	35	11798	33	11738	12	6224	14	8055	5326	8142	9839	5660	10955	10296	270	10492	3210	3246	4324	5376	11741	38	10769	912	4355	4122	5086	9872	6357	5090	4007	481	5450	4397	33	32	11102	11794	11785	22	12	4630	7015	3549	10707	20	10733	10128	5263	10846	8145	5179	10314	8163	11740
Met5694	3509	448	232	26	8088	9793	9915	4401	5032	3898	3391	21	0	9	7827	11	10974	4595	3191	27	24	3636	5439	4507	2965	11982	16	16	25	4262	4549	11801	3876	24	10430	10658	9639	6942	842	8787	2559	2921	25	23	7842	10942	9203	15	22	12147	23	11948	17	5076	19	6177	4426	6146	7482	5712	10636	7802	223	10238	3167	3113	4255	5380	11990	48	8222	665	3927	3569	4360	9456	5717	4365	3809	470	5223	4106	21	22	11308	12145	12065	20	14	3964	5534	3150	10385	9	8194	7594	5026	10540	8152	4403	7839	6201	12007
Met5696	290	10	71	10	27	5075	5315	31	1573	21	28	8	9	0	29	7	5762	67	89	12	8	312	1921	33	133	6469	12	16	17	1157	1307	6341	888	5	5892	6062	5545	50	15	4723	358	496	15	13	32	6186	4894	5	14	6593	16	6437	10	26	13	18	26	47	29	1911	5999	24	7	5532	598	566	630	1733	6473	5	62	10	424	34	40	5226	1320	35	20	105	1753	1254	16	14	5992	6591	6498	8	11	321	26	98	5840	8	42	39	1565	5985	3668	27	53	31	6446
Met5700	873	27	1739	122	38	9588	11036	23	6459	17	26	10290	7827	29	0	19	12118	86	647	5485	23	870	6728	35	360	13061	3696	4105	6206	5090	5519	12913	3884	29	12469	12788	11619	91	40	10664	3113	3529	12743	12709	48	12790	10195	34	12694	13248	12728	13017	805	56	62	44	51	95	34	6543	12459	48	21	10567	3778	3035	2279	6303	13083	25	69	39	1075	73	38	11385	2379	38	10	2751	6460	5632	12425	12616	12308	13250	13133	2785	3373	1140	37	318	12462	5354	34	66	6300	12689	8628	31	76	67	13074
Met5701	347	9	125	24	9	5459	5792	12	1877	10	22	10	11	7	19	0	6056	65	120	31	6	364	2163	22	150	6780	27	56	71	1326	1536	6647	976	8	6257	6484	5917	54	11	5059	451	552	19	20	14	6686	5265	6	12	6899	23	6739	9	21	6	13	22	42	9	2069	6456	10	9	5942	685	630	684	1864	6784	6	38	8	521	32	46	5552	1416	31	11	174	2072	1532	13	17	6281	6902	6815	7	20	378	15	106	6282	8	10	29	1876	6396	3857	14	36	22	6777
Met5709	5145	4362	1476	11	12760	12023	11163	5745	6124	6020	4189	10738	10974	5762	12118	6056	0	6091	4606	5536	3423	4982	6685	5994	3701	25	5014	4848	5692	1317	2823	26	50	4643	12441	12572	12510	10582	6416	10943	250	20	12499	12462	12354	12408	10354	4843	12476	33	12479	24	6544	7548	5200	10492	5389	9454	12095	12	11887	12162	4310	12291	12	240	13	14	23	6125	12835	7341	5045	4873	6006	11547	7944	6042	442	4317	5781	6716	12336	12328	22	33	22	7477	5536	6936	9560	4033	12396	9314	12753	11686	5900	12378	12	6292	12566	9599	218
Met5712	145	50	434	133	90	5454	13	71	2130	62	7	5410	4595	67	86	65	6091	0	314	1579	15	464	2276	68	27	7031	92	977	1911	1304	1501	6866	1048	24	6686	6864	6168	75	37	5395	181	144	6768	6750	85	6630	5269	46	6728	7116	6769	7010	570	64	44	62	57	63	76	2180	6411	71	44	5883	316	415	828	2076	7023	50	126	83	7	12	112	5920	1532	98	85	778	2042	1992	6581	6685	6566	7117	7072	1234	1175	673	83	33	6592	3218	101	61	2107	6756	4017	64	103	59	7021
Met5722	252	39	94	34	693	4077	4314	8	7	5	12	3579	3191	89	647	120	4606	314	0	35	27	318	1237	185	142	5219	504	7	32	35	39	5152	213	42	82	4352	3934	540	142	7	42	29	4531	4511	621	4704	3736	12	4492	5340	4527	5197	467	303	72	399	146	437	501	1161	4533	624	45	4297	31	9	62	68	5232	125	741	191	18	63	7	5	7	14	12	75	112	440	4397	4470	4829	5339	5255	577	501	491	272	130	4666	2250	699	620	11	4273	2732	31	621	437	5216
Met5723	743	77	71	26	5759	4623	5238	106	146	863	82	22	27	12	5485	31	5536	1579	35	0	11	784	1643	1315	498	6258	12	6	7	59	51	6166	384	15	5303	5825	5232	4881	572	4128	83	451	26	21	5549	5193	4256	6	19	6401	25	6233	21	2356	21	3756	1019	3905	5040	1737	5037	5411	89	4829	120	78	1090	1579	6266	59	5830	706	130	444	1306	4616	2213	1308	83	33	138	405	20	21	5799	6400	6302	9	7	1226	2820	581	5649	21	5787	5361	106	5716	3656	1422	5539	3837	6251
Met5727	11	10	59	58	10	48	66	16	545	13	10	20	24	8	23	6	3423	15	27	11	0	40	233	7	41	3962	14	13	19	16	30	3876	69	16	3579	3761	3311	67	12	2656	74	81	30	26	7	12	35	3	17	4094	36	3949	15	14	13	5	15	25	7	131	45	9	4	25	133	101	301	662	3964	5	47	6	20	12	39	3035	861	32	37	8	43	10	17	26	3620	4097	3996	5	5	9	5	20	3632	17	24	18	528	3666	1797	11	25	17	3934
Met5734	10	13	129	260	930	27	4492	412	1241	339	302	3938	3636	312	870	364	4982	464	318	784	40	0	5	15	4	5605	348	339	1053	27	81	5433	104	161	5052	5139	4227	711	324	3618	42	62	4998	4988	800	8	24	189	4981	5724	4997	5593	732	175	178	504	340	564	675	135	7	773	13	17	471	446	784	1347	5595	345	971	429	581	217	400	4217	1433	395	441	12	36	10	4875	4940	5093	5730	5649	168	25	6	158	20	4	2578	930	808	1219	5066	2582	386	743	515	5592
Met5737	131	250	407	873	7065	601	6255	2130	2283	2049	1235	5591	5439	1921	6728	2163	6685	2276	1237	1643	233	5	0	381	7	7472	822	948	2003	335	396	7263	397	970	7006	7008	5689	5819	2377	5039	19	51	6895	6871	6666	693	528	1219	6888	7621	6882	7448	2458	1466	1234	4627	2141	4656	6049	602	587	6480	253	625	960	937	1704	2350	7476	2185	7119	2835	1553	1235	2197	5894	3262	2200	1382	254	397	379	6729	6798	6808	7621	7541	1135	275	363	2457	239	7	4332	7073	6485	2219	6927	3701	2320	6518	4335	7487
Met5739	13	10	157	93	8	34	5640	14	1991	19	29	5255	4507	33	35	22	5994	68	185	1315	7	15	381	0	17	6677	1012	488	1839	37	68	6484	107	13	6525	6657	5401	79	20	4638	432	537	6669	6645	21	20	31	22	6622	6832	6655	6648	556	13	21	12	19	41	20	156	17	23	8	15	683	632	720	1882	6679	22	14	21	534	30	48	5443	1410	42	9	23	62	13	6474	6586	6062	6832	6725	164	36	11	11	20	6134	3097	20	44	1915	6567	2983	17	25	26	6678
Met5740	25	31	125	88	362	315	24	126	776	82	36	3204	2965	133	360	150	3701	27	142	498	41	4	7	17	0	4317	38	222	659	107	149	4192	141	48	3982	4062	3558	301	132	2948	27	7	4073	4055	335	412	319	93	4055	4404	4067	4307	499	92	78	206	113	235	288	267	356	333	29	337	77	127	354	759	4310	149	383	190	15	9	126	3390	1015	125	115	48	156	147	3955	4002	3941	4403	4345	215	90	78	127	16	3	2072	378	334	746	3984	2036	103	333	215	4300
Met5742	5885	4930	1689	10	13757	13010	12910	6452	6843	6699	4845	11749	11982	6469	13061	6780	25	7031	5219	6258	3962	5605	7472	6677	4317	0	5890	5510	6412	1470	3177	16	55	5323	13469	13566	13505	11459	7156	11903	283	20	13596	13552	13335	13405	11241	5484	13574	19	13568	22	7288	8343	5866	11477	5987	10292	13086	11	12870	13160	4881	13261	11	278	13	14	20	6825	13826	8094	5924	5670	6696	12545	8761	6745	490	4893	6494	7478	13423	13390	21	19	20	8332	6234	7694	10440	4699	13454	10241	13760	12625	6612	13366	10	6998	13513	10414	244
Met5746	196	113	94	22	3851	4517	51	973	1283	849	59	11	16	12	3696	27	5014	92	504	12	14	348	822	1012	38	5890	0	46	18	831	958	5743	741	10	5089	5125	4585	3256	423	3995	57	54	17	15	3723	5119	4175	5	15	5990	12	5859	12	1138	9	2262	1196	2687	3435	1517	4950	3632	79	4773	171	295	889	1424	5877	41	3926	456	90	44	1035	4446	1971	1046	657	128	1306	1220	10	10	5466	5987	5911	3	1	1004	1899	71	2274	8	3896	3601	1302	5046	3346	1076	3700	2635	5865
Met5749	264	29	81	62	4270	2927	4200	149	10	36	108	15	16	16	4105	56	4848	977	7	6	13	339	948	488	222	5510	46	0	21	52	67	5430	252	23	83	4100	3612	3584	452	6	96	94	38	17	4119	3337	2700	4	14	5661	33	5495	21	1505	34	2723	769	2846	3744	1101	3253	4002	30	3091	88	16	121	97	5509	90	4343	604	160	259	15	6	8	21	141	31	92	261	26	28	5069	5661	5563	23	20	472	1815	228	4403	12	4313	3987	19	4020	2898	126	4122	2710	5501
Met5750	1064	132	84	52	6483	5673	5754	104	149	1193	94	21	25	17	6206	71	5692	1911	32	7	19	1053	2003	1839	659	6412	18	21	0	70	55	6326	425	29	6123	6289	5718	5471	683	4871	120	543	27	19	6246	6301	5163	8	20	6557	26	6391	42	2721	31	4344	1185	4416	5710	1932	6125	6112	130	5895	149	89	1240	1720	6425	103	6566	840	136	607	1733	5405	2745	1742	98	44	172	529	18	18	5955	6560	6465	12	9	1732	3429	822	6061	21	6487	6034	111	6194	3815	1859	6260	4432	6410
Met5752	21	8	53	18	5332	40	4705	79	150	1162	70	4381	4262	1157	5090	1326	1317	1304	35	59	16	27	335	37	107	1470	831	52	70	0	9	1399	17	458	5289	5268	4879	4477	1586	3993	24	113	5357	5335	5104	23	14	507	5334	1483	5349	1465	1606	2183	939	3558	842	3450	4675	6	11	4969	15	27	17	17	295	417	1471	1350	5377	1951	79	402	1303	4622	2278	1299	18	5	13	11	5268	5293	1323	1483	1475	860	14	23	2339	16	5191	3332	5333	4938	76	5211	689	1411	5136	3270	1544
Met5753	59	33	99	19	5784	139	5059	66	162	1293	60	4710	4549	1307	5519	1536	2823	1501	39	51	30	81	396	68	149	3177	958	67	55	9	0	3068	23	529	5778	5711	5015	4860	1767	4234	43	220	5753	5734	5500	125	90	539	5722	3208	5740	3171	1828	2418	1086	3792	916	3716	4969	32	100	5373	45	126	23	35	638	910	3181	1558	5824	2173	72	432	1549	4977	2546	1559	24	23	23	38	5645	5691	2900	3207	3182	893	46	68	2372	43	5573	3609	5781	5369	72	5647	1478	1655	5486	3521	3222
Met5754	5685	4789	1688	7	13614	12512	12702	6333	6786	6597	4758	11489	11801	6341	12913	6647	26	6866	5152	6166	3876	5433	7263	6484	4192	16	5743	5430	6326	1399	3068	0	43	5203	13301	13376	13295	11270	7022	11683	270	17	13393	13349	13179	12885	10795	5358	13376	8	13370	22	7155	8200	5745	11305	5839	10123	12911	1	12363	12994	4713	12742	9	272	11	12	20	6712	13689	7993	5798	5486	6543	12306	8606	6573	492	4735	6318	7229	13208	13180	22	8	9	8096	6008	7434	10271	4534	13259	10032	13588	12459	6501	13206	0	6856	13364	10236	259
Met5755	95	41	22	2	4115	253	4350	336	486	954	231	3973	3876	888	3884	976	50	1048	213	384	69	104	397	107	141	55	741	252	425	17	23	43	0	379	4768	4812	4703	3456	1214	3717	10	12	4827	4819	3965	245	174	484	4811	47	4821	56	1287	1709	736	2807	757	2682	3695	4	208	3858	43	242	7	15	13	17	56	1011	4156	1495	335	420	1002	4209	1952	1014	17	32	60	80	4754	4763	53	49	50	842	81	118	1991	53	4722	2950	4114	3823	442	4734	27	1076	4006	2581	130
Met5762	80	3	59	5	10	2692	1418	16	848	7	13	20	24	5	29	8	4643	24	42	15	16	161	970	13	48	5323	10	23	29	458	529	5203	379	0	4403	4660	4161	51	9	3423	104	158	28	31	14	3290	2563	2	23	5427	36	5291	15	20	6	9	16	34	12	1047	3179	15	6	2915	207	240	405	1115	5322	5	32	10	83	19	22	3835	1023	20	9	46	651	535	22	34	4893	5426	5352	6	11	175	14	38	4549	16	22	28	830	4581	2762	6	31	19	5299
Met5763	4872	4477	1329	3835	13050	11998	12147	6047	104	127	4752	10746	10430	5892	12469	6257	12441	6686	82	5303	3579	5052	7006	6525	3982	13469	5089	83	6123	5289	5778	13301	4768	4403	0	11364	10290	10964	6391	146	109	97	12558	12523	12559	13191	11109	1888	12539	13641	12536	13429	6543	7657	5218	10122	6559	9800	12012	6825	12762	12417	4543	12409	101	167	128	98	13482	6260	13127	7113	5340	5134	89	145	112	91	4973	4540	6713	6807	12283	12422	12712	13639	13588	6267	5488	6784	8948	4571	12487	9031	13079	12119	197	11216	9156	382	12563	9783	13559
Met5764	4984	4602	2994	3906	13334	12192	12339	6463	5915	5348	4900	10946	10658	6062	12788	6484	12572	6864	4352	5825	3761	5139	7008	6657	4062	13566	5125	4100	6289	5268	5711	13376	4812	4660	11364	0	3	11240	6612	9734	2930	3315	12773	12737	12805	13335	11335	4337	12769	13701	12765	13525	6781	7830	5341	10448	6704	9946	12321	6954	12949	12664	4697	12538	3566	3501	4802	5772	13586	6490	13409	7335	5452	5261	5761	10366	7090	5779	5061	4632	6739	6900	12228	12611	12759	13703	13716	6417	5629	6966	9106	4661	12495	9247	13363	12324	5866	18	9510	5812	12813	10050	13669
Met5766	3998	3891	2791	3862	12114	8014	11018	5886	5321	4870	4488	9941	9639	5545	11619	5917	12510	6168	3934	5232	3311	4227	5689	5401	3558	13505	4585	3612	5718	4879	5015	13295	4703	4161	10290	3	0	10183	6020	8657	2868	3257	11632	11601	11607	8982	7741	3907	11636	13635	11627	13472	6173	7067	4885	9283	6061	8927	11103	6792	8723	11450	3995	8255	3526	3435	4777	5753	13523	5926	12183	6656	4895	4665	5248	9313	6355	5256	4982	3886	5404	5293	11100	11497	12703	13637	13645	5244	4505	5347	7806	3941	11261	8387	12145	11224	5285	25	9431	5303	11600	8947	13594
Met5769	749	34	1527	82	96	8320	9699	27	5630	47	36	9302	6942	50	91	54	10582	75	540	4881	67	711	5819	79	301	11459	3256	3584	5471	4477	4860	11270	3456	51	10964	11240	10183	0	56	9411	2721	3083	11236	11212	66	11137	9026	34	11238	11534	11229	11451	717	64	33	63	71	118	74	5746	11016	82	16	9200	3271	2735	1959	5500	11470	44	119	79	970	86	34	10166	1996	34	28	2358	5634	4863	10992	11144	10895	11534	11474	2382	2956	922	87	267	10978	4749	54	88	5514	11158	7689	33	93	79	11462
Met5776	346	10	259	18	24	5415	5737	11	2089	11	10	1093	842	15	40	11	6416	37	142	572	12	324	2377	20	132	7156	423	452	683	1586	1767	7022	1214	9	6391	6612	6020	56	0	5233	627	785	1401	1395	32	6764	5375	11	1390	7275	1404	7135	148	21	23	20	27	57	23	2373	6604	28	9	5967	889	817	769	2171	7162	13	29	18	502	36	16	5745	1381	18	4	378	2259	1754	1353	1380	6688	7273	7170	310	380	374	20	116	6505	596	30	50	2051	6556	4194	13	44	34	7131
Met5778	3455	3246	1056	3094	11108	7787	10264	4876	25	27	3770	9105	8787	4723	10664	5059	10943	5395	7	4128	2656	3618	5039	4638	2948	11903	3995	6	4871	3993	4234	11683	3717	3423	146	9734	8657	9411	5233	0	14	5	10677	10651	10652	8629	7353	1398	10664	12012	10656	11885	5314	6297	4210	8385	5314	8213	10109	5283	8359	10562	3300	8070	4	69	6	3	11913	5067	11177	5806	4243	4019	3	8	7	4	4053	3304	4752	4709	10445	10583	11221	12011	11971	4595	3861	4702	7008	3349	10590	7562	11139	10374	138	9656	7791	218	10681	8139	11920
Met5781	112	141	35	1	3306	2972	82	57	88	95	130	2585	2559	358	3113	451	250	181	42	83	74	42	19	432	27	283	57	96	120	24	43	270	10	104	109	2930	2868	2721	627	14	0	3	3288	3259	3190	3120	2461	126	3260	288	3277	276	648	812	262	2072	550	2154	2969	14	2984	3079	144	3106	2	2	2	2	272	457	3340	901	64	25	26	7	13	37	48	83	172	423	3204	3212	250	289	295	677	321	614	1603	45	59	1872	3315	3034	77	2857	131	129	3212	2092	390
Met5782	110	207	33	2	3716	3341	44	509	76	58	122	2926	2921	496	3529	552	20	144	29	451	81	62	51	537	7	20	54	94	543	113	220	17	12	158	97	3315	3257	3083	785	5	3	0	3707	3680	3591	3531	2797	228	3682	20	3700	16	804	901	359	2394	846	2479	3391	3	3385	3490	209	3500	2	3	2	2	9	580	3764	1070	85	31	26	3	9	38	42	210	563	800	3610	3613	15	20	23	881	439	761	1878	41	58	2161	3710	3416	102	3206	6	147	3644	2394	112
Met5787	4960	757	316	95	13247	12007	12068	6538	6486	5816	4871	35	25	15	12743	19	12499	6768	4531	26	30	4998	6895	6669	4073	13596	17	38	27	5357	5753	13393	4827	28	12558	12773	11632	11236	1401	10677	3288	3707	0	2	12847	13175	11186	16	7	13748	10	13548	33	7756	36	10050	6647	9891	12260	6892	12798	12695	386	12434	4035	3933	5394	6526	13604	76	13418	1219	5458	5207	6394	11415	7808	6411	5082	679	6717	5442	12	10	12837	13753	13704	17	16	5849	8843	4427	12421	24	13351	12360	6487	12604	9488	6539	12852	9957	13677
Met5788	4941	750	309	84	13211	11969	12041	6513	6458	5800	4850	35	23	13	12709	20	12462	6750	4511	21	26	4988	6871	6645	4055	13552	15	17	19	5335	5734	13349	4819	31	12523	12737	11601	11212	1395	10651	3259	3680	2	0	12818	13134	11152	7	6	13704	8	13508	32	7731	32	10019	6634	9863	12226	6858	12761	12662	379	12404	4012	3915	5370	6499	13561	76	13381	1213	5438	5188	6380	11387	7789	6398	5050	669	6687	5420	12	9	12794	13709	13661	11	13	5833	8816	4414	12381	24	13319	12328	6454	12577	9457	6525	12829	9938	13632
Met5789	837	12	1764	169	16	9175	10990	9	6497	5	14	10336	7842	32	48	14	12354	85	621	5549	7	800	6666	21	335	13335	3723	4119	6246	5104	5500	13179	3965	14	12559	12805	11607	66	32	10652	3190	3591	12847	12818	0	12398	9798	22	12779	13523	12829	13288	849	32	41	26	41	75	18	6694	12035	22	10	10126	3875	3095	2388	6465	13358	10	27	10	1015	65	30	11394	2384	31	8	2692	6367	5499	12512	12707	12566	13526	13433	2656	3348	1069	12	315	12461	5393	8	54	6363	12666	8820	18	37	51	13391
Met5796	2	2	1072	3832	13370	12	11959	6366	6683	6224	4669	11149	10942	6186	12790	6686	12408	6630	4704	5193	12	8	693	20	412	13405	5119	3337	6301	23	125	12885	245	3290	13191	13335	8982	11137	6764	8629	3120	3531	13175	13134	12398	0	59	4579	13146	13582	13149	13371	6935	7733	5527	9096	5184	8836	11116	38	27	12028	11	7	3875	3840	5423	6583	13423	6677	13453	7539	5254	3945	6559	10744	7911	6581	4789	11	6	1	12911	13026	12169	13582	13511	1891	6	3	3951	62	12063	9482	13395	12357	6573	13180	6428	6567	11936	8049	13456
Met5798	29	19	864	2975	10583	66	10183	5059	5467	4901	3698	9605	9203	4894	10195	5265	10354	5269	3736	4256	35	24	528	31	319	11241	4175	2700	5163	14	90	10795	174	2563	11109	11335	7741	9026	5375	7353	2461	2797	11186	11152	9798	59	0	3599	11166	11358	11159	11217	5508	6154	4409	7244	4130	7082	8850	3	65	9634	20	57	3078	3128	4286	5320	11256	5249	10638	5919	4224	3167	5183	9178	6358	5204	3732	27	38	36	10980	11054	10201	11356	11282	1514	23	29	3138	46	10360	7902	10593	9933	5361	11232	5317	5161	9491	6450	11231
Met5799	169	6	66	19	15	3828	4129	10	218	8	19	14	15	5	34	6	4843	46	12	6	3	189	1219	22	93	5484	5	4	8	507	539	5358	484	2	1888	4337	3907	34	11	1398	126	228	16	7	22	4579	3599	0	3	5583	11	5457	11	20	6	18	13	42	17	1312	4448	17	5	4107	176	120	325	837	5468	2	50	10	175	18	11	1561	368	10	17	50	704	598	7	6	5046	5581	5510	3	7	236	18	58	4574	10	33	28	224	4262	2972	14	40	27	5460
