snp-dists 0.8.2	Met4841	Met4847	Met4860	Met4873	Met4880	Met5657	Met5663	Met5668	Met5669	Met5686	Met5701	Met5703	Met5709	Met5712	Met5723	Met5727	Met5739	Met5740	Met5741	Met5749	Met5750	Met5753	Met5763	Met5764	Met5766	Met5787	Met5791	Met5792	Met5801	Met5802	Met5804	Met5806	Met5809	Met6290	Met7494	Met7520	Met8587	Met8615	Met8616	Met8635	Met8639	Met8644	Met8648	Met8661	Met8662	Met8665	Met8697	Met8710	Met8720	Reference
Met5763	16	16	16	17	16	16	31	16	17	633	16	17	32	17	16	16	16	16	16	16	16	16	0	35	35	18	17	17	21	657	656	16	16	17	17	16	19	16	16	17	17	21	21	18	16	16	767	34	18	45
Met5764	19	19	19	20	19	19	12	19	20	638	19	20	13	20	19	19	19	19	19	19	19	19	35	0	0	21	20	20	24	660	659	19	19	20	20	19	22	19	19	20	20	24	14	21	19	19	767	1	21	48
Met5766	19	19	19	20	19	19	12	19	20	638	19	20	13	20	19	19	19	19	19	19	19	19	35	0	0	21	20	20	24	660	659	19	19	20	20	19	22	19	19	20	20	24	14	21	19	19	767	1	21	48
Met5787	2	2	2	3	2	2	17	2	3	625	2	3	18	3	2	2	2	2	2	2	2	2	18	21	21	0	3	3	7	649	648	2	2	3	3	2	5	2	2	3	3	7	7	4	2	2	752	20	4	31
Met5791	1	1	1	2	1	1	16	1	0	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	0	0	6	648	647	1	1	0	0	1	2	1	1	2	2	6	6	3	1	1	752	19	1	30
Met5792	1	1	1	2	1	1	16	1	0	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	0	0	6	648	647	1	1	0	0	1	2	1	1	2	2	6	6	3	1	1	752	19	1	30
Met5801	5	5	5	6	5	5	20	5	6	628	5	6	21	6	5	5	5	5	5	5	5	5	21	24	24	7	6	6	0	652	651	5	5	6	6	5	8	5	5	6	6	0	10	7	5	5	755	23	7	34
Met5802	647	647	647	647	647	647	658	647	648	223	647	648	657	648	647	647	647	647	647	647	647	647	657	660	660	649	648	648	652	0	1	647	647	648	648	647	650	647	647	648	648	652	650	647	647	647	1254	660	649	640
Met5804	646	646	646	646	646	646	657	646	647	224	646	647	656	647	646	646	646	646	646	646	646	646	656	659	659	648	647	647	651	1	0	646	646	647	647	646	649	646	646	647	647	651	649	646	646	646	1253	659	648	639
Met5806	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5809	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met6290	1	1	1	2	1	1	16	1	0	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	0	0	6	648	647	1	1	0	0	1	2	1	1	2	2	6	6	3	1	1	752	19	1	30
Met7494	1	1	1	2	1	1	16	1	0	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	0	0	6	648	647	1	1	0	0	1	2	1	1	2	2	6	6	3	1	1	752	19	1	30
Met7520	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met8587	3	3	3	4	3	3	18	3	2	626	3	4	19	4	3	3	3	3	3	3	3	3	19	22	22	5	2	2	8	650	649	3	3	2	2	3	0	3	3	4	4	8	8	5	3	3	754	21	1	32
Met8615	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met8616	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met8635	1	1	1	2	1	1	16	1	2	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	2	2	6	648	647	1	1	2	2	1	4	1	1	0	0	6	6	3	1	1	752	19	3	30
Met8639	1	1	1	2	1	1	16	1	2	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	2	2	6	648	647	1	1	2	2	1	4	1	1	0	0	6	6	3	1	1	752	19	3	30
Met8644	5	5	5	6	5	5	20	5	6	628	5	6	21	6	5	5	5	5	5	5	5	5	21	24	24	7	6	6	0	652	651	5	5	6	6	5	8	5	5	6	6	0	10	7	5	5	755	23	7	34
Met8648	5	5	5	6	5	5	10	5	6	626	5	6	11	6	5	5	5	5	5	5	5	5	21	14	14	7	6	6	10	650	649	5	5	6	6	5	8	5	5	6	6	10	0	7	5	5	754	13	7	34
Met8661	2	2	2	3	2	2	17	2	3	623	2	3	18	3	2	2	2	2	2	2	2	2	18	21	21	4	3	3	7	647	646	2	2	3	3	2	5	2	2	3	3	7	7	0	2	2	753	20	4	31
Met8662	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met8665	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met8697	751	751	751	752	751	751	763	751	752	1264	751	752	764	751	751	751	751	751	751	751	751	751	767	767	767	752	752	752	755	1254	1253	751	751	752	752	751	754	751	751	752	752	755	754	753	751	751	0	766	753	741
Met8710	18	18	18	19	18	18	11	18	19	638	18	19	12	19	18	18	18	18	18	18	18	18	34	1	1	20	19	19	23	660	659	18	18	19	19	18	21	18	18	19	19	23	13	20	18	18	766	0	20	47
Met8720	2	2	2	3	2	2	17	2	1	625	2	3	18	3	2	2	2	2	2	2	2	2	18	21	21	4	1	1	7	649	648	2	2	1	1	2	1	2	2	3	3	7	7	4	2	2	753	20	0	31
Reference	29	29	29	29	29	29	44	29	30	617	29	30	45	30	29	29	29	29	29	29	29	29	45	48	48	31	30	30	34	640	639	29	29	30	30	29	32	29	29	30	30	34	34	31	29	29	741	47	31	0
