snp-dists 0.8.2	Met4843	Met4849	Met4855	Met4863	Met4874	Met4888	Met5659	Met5667	Met5670	Met5676	Met5685	Met5698	Met5711	Met5713	Met5725	Met5726	Met5736	Met5744	Met5748	Met5756	Met5757	Met5758	Met5760	Met5761	Met5762	Met5765	Met5767	Met5768	Met5774	Met5780	Met5783	Met5784	Met5790	Met5793	Met5795	Met5798	Met5807	Met5814	Met7492	Met7497	Met7503	Met7504	Met7505	Met7518	Met8573	Met8574	Met8599	Met8615	Met8618	Met8619	Met8630	Met8631	Met8632	Met8633	Met8636	Met8637	Met8642	Met8643	Met8650	Met8656	Met8657	Met8658	Met8659	Met8663	Met8672	Met8684	Met8690	Met8691	Met8696	Met8702	Met8704	Met8711	Met8714	Met8719	Met8724	Met8726	Met8729	Met8732	Reference
Met5685	0	38848	29	0	34	398	839	49	0	53	0	16	3	178	16	9	26	2	2847	708	31	366	21	55	656	747	750	396	12	392	27	21	22	38	21	33	817	2	24	23	872	885	891	678	286	728	52639	1	31	32	31	745	635	29	887	31	477	453	0	12	13	381	391	0	529	391	21550	865	2867	399	26	1	62173	25	12	1	422	435	679
Met5698	15	38613	30	13	0	375	811	39	9	18	16	0	25	125	22	17	1	25	2809	681	19	350	11	44	613	722	730	376	9	369	8	0	0	8	1	18	794	17	1	8	847	861	869	616	260	704	52418	13	18	9	11	720	609	1	858	4	450	425	9	9	9	358	372	12	503	363	21377	839	2835	379	9	15	61778	13	15	11	399	413	656
Met5711	0	38866	37	8	43	407	848	57	9	59	3	25	0	189	25	18	34	1	2853	719	40	374	31	64	674	754	758	406	23	403	36	29	32	46	30	43	825	11	33	31	880	892	899	703	294	736	52682	10	40	41	42	756	646	37	896	39	486	462	8	21	23	392	402	10	540	402	21559	873	2874	410	39	9	62205	44	21	9	431	446	691
Met5713	152	30714	136	138	156	24	57	187	35	81	178	125	189	0	51	33	15	189	2075	26	52	56	54	140	34	6	33	52	117	51	46	11	109	169	116	52	65	105	98	52	68	78	100	26	8	10	42250	146	48	24	21	225	182	13	33	18	37	27	48	143	148	41	48	139	52	32	16853	51	1979	53	6	126	49030	8	45	156	38	45	246
Met5725	14	4	30	4	28	55	369	45	0	28	16	22	25	51	0	10	19	24	1	272	19	182	22	46	206	303	324	56	13	34	13	15	17	33	17	19	367	6	9	18	403	412	417	320	143	329	4	15	19	19	19	352	299	17	428	13	62	66	0	15	16	32	36	15	154	53	446	391	178	55	17	15	6	6	15	16	88	156	241
Met5726	8	32653	26	6	25	18	55	39	5	28	9	17	18	33	10	0	2	17	2229	35	5	21	5	32	60	41	63	17	7	12	3	2	11	22	5	4	91	3	8	4	94	95	96	63	18	47	44402	9	4	3	3	304	263	3	64	2	19	14	5	9	10	12	14	9	118	30	17933	75	2021	17	2	6	52013	4	4	10	55	125	234
Met5736	21	38318	21	15	2	3	10	35	3	54	26	1	34	15	19	2	0	29	2706	2	1	5	4	32	45	0	25	0	0	2	0	0	0	0	0	1	52	6	0	1	59	62	63	50	1	1	51957	20	1	1	3	178	150	0	19	1	4	5	0	0	5	2	2	18	11	22	20988	36	2445	1	0	16	61267	15	0	5	8	22	255
Met5744	0	38871	36	7	42	401	843	57	8	63	2	25	1	189	24	17	29	0	2855	711	35	370	25	63	681	750	754	399	26	395	31	28	29	45	29	37	821	10	32	30	876	888	895	710	289	731	52694	9	35	36	35	748	638	32	891	34	481	457	7	20	22	384	394	8	532	399	21558	869	2875	402	38	8	62215	48	16	9	425	439	681
Met5748	2837	10	2788	1966	2853	2738	2858	2870	11	1594	2847	2809	2853	2075	1	2229	2706	2855	0	2812	2740	2802	2758	2843	1086	2499	2499	2745	2763	158	2731	2682	2821	2859	2823	2736	2531	1649	2669	2736	2871	2887	2903	2731	2522	2537	18	2761	2738	2705	2728	2949	2902	2707	2833	2671	3	3	85	2838	2838	24	41	2752	2787	1040	58	2804	219	2744	2689	2817	25	192	2733	2840	2723	2752	2942
Met5756	699	38836	675	651	691	2	3	727	273	466	708	681	719	26	272	35	2	711	2812	0	3	1	467	702	40	0	15	2	662	0	6	2	657	697	545	4	25	377	569	8	64	64	65	20	0	0	52494	675	3	2	6	502	460	1	15	2	3	4	316	681	690	0	0	672	333	234	21251	14	2470	0	2	482	62003	2	2	668	304	339	544
Met5757	25	38706	21	17	18	1	4	37	5	64	31	19	40	52	19	5	1	35	2740	3	0	3	4	33	75	0	23	6	22	3	1	1	5	17	1	2	48	7	5	3	59	59	60	81	0	0	52379	24	1	0	3	335	287	1	15	1	4	5	4	3	9	3	3	23	125	45	21207	32	2473	3	11	17	61938	29	0	9	53	143	263
Met5758	358	38840	341	326	352	5	6	383	171	281	366	350	374	56	182	21	5	370	2802	1	3	0	225	360	81	0	11	7	344	0	7	6	315	354	238	7	35	209	275	8	66	66	67	121	16	44	52517	346	5	5	8	512	462	5	64	4	12	12	178	338	347	0	0	343	316	182	21276	0	2478	4	15	213	62083	31	5	324	245	335	457
Met5760	15	38344	21	7	18	158	589	38	3	20	21	11	31	54	22	5	4	25	2758	467	4	225	0	31	423	515	531	157	4	161	1	4	5	18	1	0	585	6	4	4	627	637	642	478	204	519	52064	15	0	1	1	500	429	1	648	6	263	247	3	4	9	158	161	14	288	162	21107	622	2642	161	1	10	61340	7	1	10	179	198	427
Met5761	54	38659	56	48	52	394	828	66	32	60	55	44	64	140	46	32	32	63	2843	702	33	360	31	0	630	740	746	391	1	387	31	31	31	51	22	0	808	33	35	31	864	876	881	637	282	715	52401	50	0	2	33	741	629	31	877	32	469	444	31	0	0	378	386	48	526	384	21404	854	2855	394	31	49	61822	34	31	31	418	432	672
Met5762	633	13977	613	584	644	33	44	676	211	402	656	613	674	34	206	60	45	681	1086	40	75	81	423	630	0	12	41	74	596	64	69	34	595	665	510	74	100	347	522	75	1	24	41	90	50	81	18902	623	66	42	6	563	493	36	109	31	63	51	254	629	638	56	66	618	373	188	7943	66	1056	74	29	449	23164	26	64	626	309	367	534
Met5765	741	34879	722	694	730	1	0	756	315	502	747	722	754	6	303	41	0	750	2499	0	0	0	515	740	12	0	3	0	706	0	4	0	698	730	570	2	35	422	617	0	18	18	18	26	4	7	47497	732	1	0	1	656	600	0	24	0	0	0	355	718	725	0	0	730	470	277	18750	3	2143	0	0	488	55472	0	0	704	403	477	597
Met5767	742	35215	729	700	744	25	25	766	335	507	750	730	758	33	324	63	25	754	2499	15	23	11	531	746	41	3	0	24	709	10	29	25	706	743	584	26	52	435	625	25	51	51	51	80	41	71	47960	718	25	25	26	664	613	25	91	23	27	26	381	724	732	9	10	716	488	302	19275	16	2214	23	25	491	55955	21	25	713	425	495	610
Met5768	388	38703	367	363	380	2	14	415	50	270	396	376	406	52	56	17	0	399	2745	2	6	7	157	391	74	0	24	0	368	3	2	2	345	386	335	1	54	139	306	9	57	59	61	84	0	1	52366	373	1	2	2	172	144	1	22	4	5	5	89	369	378	3	3	371	1	38	21199	35	2470	1	12	340	61921	31	2	356	2	19	259
Met5774	8	38098	13	7	20	354	797	20	1	9	12	9	23	117	13	7	0	26	2763	662	22	344	4	1	596	706	709	368	0	354	11	0	0	33	0	21	768	13	5	16	824	834	853	601	256	689	51829	7	6	6	3	703	590	2	843	5	437	409	0	0	1	341	365	6	485	346	21088	816	2776	372	0	7	60975	8	10	5	378	396	643
Met5780	384	2351	362	359	375	4	4	409	42	252	392	369	403	51	34	12	2	395	158	0	3	0	161	387	64	0	10	3	354	0	4	2	344	381	334	1	33	132	304	8	55	57	58	105	16	37	3262	369	1	3	0	38	32	2	56	3	2	1	76	366	375	0	0	368	1	15	664	0	263	0	8	339	3945	26	3	355	1	13	187
Met5783	21	38652	21	15	0	3	7	35	2	60	27	8	36	46	13	3	0	31	2731	6	1	7	1	31	69	4	29	2	11	4	0	0	1	0	0	0	58	6	0	0	64	68	68	75	1	4	52279	20	0	0	0	327	279	0	20	0	7	7	0	0	6	4	4	19	119	34	21182	41	2475	2	6	16	61832	24	0	6	48	130	254
Met5784	20	38044	21	14	0	1	5	31	2	35	21	0	29	11	15	2	0	28	2682	2	1	6	4	31	34	0	25	2	0	2	0	0	0	0	0	0	52	6	0	0	59	62	63	22	0	0	51647	20	0	0	2	322	276	0	15	0	3	4	0	0	1	2	2	18	119	21	20825	36	2429	0	0	16	60830	2	0	1	48	130	251
Met5790	20	38609	21	14	0	349	786	33	2	20	22	0	32	109	17	11	0	29	2821	657	5	315	5	31	595	698	706	345	0	344	1	0	0	1	0	4	768	6	1	1	822	833	838	595	255	684	52369	20	2	6	5	695	587	3	835	8	430	408	0	0	1	334	342	18	478	336	21349	813	2812	348	0	16	61759	9	4	2	370	386	625
Met5793	36	38943	37	30	0	386	825	47	19	82	38	8	46	169	33	22	0	45	2859	697	17	354	18	51	665	730	743	386	33	381	0	0	1	0	0	21	809	18	1	0	862	875	882	690	255	709	52694	34	20	9	18	736	624	1	867	0	458	432	16	16	17	373	381	34	519	391	21577	855	2870	388	26	32	62343	50	16	16	409	431	671
Met5795	20	38816	21	15	0	337	641	31	3	53	21	1	30	116	17	5	0	29	2823	545	1	238	1	22	510	570	584	335	0	334	0	0	0	0	0	0	634	6	1	0	680	690	694	483	190	547	52527	19	0	0	0	685	579	0	667	0	384	363	0	0	0	326	333	18	468	332	21450	667	2798	338	0	16	62091	4	0	0	360	374	615
Met5798	27	38676	25	19	21	2	11	43	3	65	33	18	43	52	19	4	1	37	2736	4	2	7	0	0	74	2	26	1	21	1	0	0	4	21	0	0	55	6	6	2	59	62	64	81	0	0	52317	26	0	0	1	42	35	1	19	2	6	7	3	2	8	5	5	25	0	26	21181	38	2468	3	9	19	61865	29	0	8	0	20	253
Met5807	808	35128	784	756	809	54	52	835	373	573	817	794	825	65	367	91	52	821	2531	25	48	35	585	808	100	35	52	54	768	33	58	52	768	809	634	55	0	477	678	54	117	117	117	133	65	97	47705	778	54	54	57	710	653	52	118	48	50	50	414	794	803	33	33	774	533	341	19246	48	2245	50	56	537	56042	57	53	780	470	541	660
Met5814	2	22295	25	2	16	144	477	35	2	50	2	17	11	105	6	3	6	10	1649	377	7	209	6	33	347	422	435	139	13	132	6	6	6	18	6	6	477	0	10	6	516	523	529	448	170	427	30413	3	6	5	6	427	373	6	532	6	180	170	2	4	4	128	132	2	239	134	10490	508	1269	141	13	4	36284	35	2	2	163	204	365
Met7492	23	37532	26	18	1	311	677	34	6	22	24	1	33	98	9	8	0	32	2669	569	5	275	4	35	522	617	625	306	5	304	0	0	1	1	1	6	678	10	0	0	722	728	732	520	208	599	51052	22	6	4	4	635	535	0	725	0	378	357	4	5	5	297	304	22	432	305	20709	711	2695	309	4	21	59786	9	4	5	335	355	565
Met7497	21	38678	5	15	0	5	11	5	4	64	23	8	31	52	18	4	1	30	2736	8	3	8	4	31	75	0	25	9	16	8	0	0	1	0	0	2	54	6	0	0	59	66	67	81	0	0	52326	20	1	0	4	338	289	3	20	2	6	5	1	0	1	9	9	19	127	41	21195	37	2474	6	10	16	61886	30	0	0	52	142	266
Met7503	864	38784	842	811	862	60	0	888	408	595	872	847	880	68	403	94	59	876	2871	64	59	66	627	864	1	18	51	57	824	55	64	59	822	862	680	59	117	516	722	59	0	0	0	123	76	112	52454	837	58	59	1	759	702	59	138	57	58	58	454	847	856	55	55	834	572	369	21242	98	2513	58	58	580	61874	54	59	833	501	580	715
Met7504	876	38838	851	821	873	59	2	904	413	623	885	861	892	78	412	95	62	888	2887	64	59	66	637	876	24	18	51	59	834	57	68	62	833	875	690	62	117	523	728	66	0	0	0	169	79	112	52507	848	61	64	7	777	718	63	139	60	62	62	459	860	869	58	58	844	583	376	21262	98	2522	61	64	589	61928	75	62	846	511	591	727
Met7505	882	39017	856	826	878	60	2	910	419	633	891	869	899	100	417	96	63	895	2903	65	60	67	642	881	41	18	51	61	853	58	68	63	838	882	694	64	117	529	732	67	0	0	0	187	79	112	52698	851	62	64	8	784	723	64	140	61	63	63	465	866	875	59	59	847	590	393	21387	98	2536	62	69	591	62275	81	63	852	517	600	736
Met7518	639	37558	613	597	648	14	82	700	317	449	678	616	703	26	320	63	50	710	2731	20	81	121	478	637	90	26	80	84	601	105	75	22	595	690	483	81	133	448	520	81	123	169	187	0	3	3	51105	625	62	16	70	735	632	20	1	0	61	42	352	648	658	112	122	622	509	317	20605	94	2466	83	17	388	59782	0	42	656	446	490	681
Met8573	280	35619	265	254	259	0	0	295	141	183	286	260	294	8	143	18	1	289	2522	0	0	16	204	282	50	4	41	0	256	16	1	0	255	255	190	0	65	170	208	0	76	79	79	3	0	0	48703	276	0	0	19	478	417	0	0	0	1	0	150	260	267	20	20	275	277	137	19490	49	2297	0	0	160	56989	0	0	260	210	289	411
Met8574	723	35984	703	672	711	0	0	738	339	500	728	704	736	10	329	47	1	731	2537	0	0	44	519	715	81	7	71	1	689	37	4	0	684	709	547	0	97	427	599	0	112	112	112	3	0	0	49210	712	0	0	56	679	621	0	0	0	0	0	374	700	707	52	51	710	495	304	19735	84	2290	0	0	443	57155	0	0	692	429	502	616
Met8599	52606	109	51871	38121	52613	52303	52650	52674	98	32095	52639	52418	52682	42250	4	44402	51957	52694	18	52494	52379	52517	52064	52401	18902	47497	47960	52366	51829	3262	52279	51647	52369	52694	52527	52317	47705	30413	51052	52326	52454	52507	52698	51105	48703	49210	0	51309	52284	51862	52237	52698	52364	51914	51981	51521	37	47	1669	52597	52600	397	910	51250	52261	19715	535	51839	1442	52369	51939	52524	247	3989	52303	52617	51635	52033	52707
Met8615	1	37648	27	1	31	376	799	45	1	24	1	13	10	146	15	9	20	9	2761	675	24	346	15	50	623	732	718	373	7	369	20	20	20	34	19	26	778	3	22	20	837	848	851	625	276	712	51309	0	24	25	24	714	605	22	868	25	459	435	1	11	13	359	368	1	503	361	20809	825	2783	375	20	3	60229	9	8	1	398	419	644
Met8618	25	38661	25	19	21	2	10	40	3	62	31	18	40	48	19	4	1	35	2738	3	1	5	0	0	66	1	25	1	6	1	0	0	2	20	0	0	54	6	6	1	58	61	62	62	0	0	52284	24	0	0	0	42	35	0	7	0	5	6	1	0	6	3	3	23	0	26	21180	36	2468	2	7	19	61859	24	0	6	0	17	249
Met8619	26	38340	23	17	10	1	9	41	4	42	32	9	41	24	19	3	1	36	2705	2	0	5	1	2	42	0	25	2	6	3	0	0	6	9	0	0	54	5	4	0	59	64	64	16	0	0	51862	25	0	0	0	315	272	0	4	0	4	4	4	5	11	3	3	24	110	25	20958	37	2448	1	2	16	61278	4	0	11	45	125	254
Met8630	25	38555	13	16	17	6	14	28	3	23	31	11	42	21	19	3	3	35	2728	6	3	8	1	33	6	1	26	2	3	0	0	2	5	18	0	1	57	6	4	4	1	7	8	70	19	56	52237	24	0	0	0	2	2	0	87	4	10	11	3	4	10	0	0	23	1	12	21111	43	2467	3	0	16	61684	2	0	11	0	12	251
Met8631	737	39020	711	707	729	335	735	766	354	551	745	720	756	225	352	304	178	748	2949	502	335	512	500	741	563	656	664	172	703	38	327	322	695	736	685	42	710	427	635	338	759	777	784	735	478	679	52698	714	42	315	2	0	0	322	793	330	405	402	393	720	729	39	40	712	41	55	21516	760	2780	198	333	686	62305	331	329	707	40	59	587
Met8632	627	38730	606	599	619	285	675	652	298	469	635	609	646	182	299	263	150	638	2902	460	287	462	429	629	493	600	613	144	590	32	279	276	587	624	579	35	653	373	535	289	702	718	723	632	417	621	52364	605	35	272	2	0	0	275	728	282	352	349	331	608	617	33	34	603	34	42	21367	699	2723	169	278	587	61817	267	280	599	33	49	534
Met8633	23	38310	21	15	0	2	2	39	3	38	29	1	37	13	17	3	0	32	2707	1	1	5	1	31	36	0	25	1	2	2	0	0	3	1	0	1	52	6	0	3	59	63	64	20	0	0	51914	22	0	0	0	322	275	0	15	2	5	4	2	2	8	2	2	21	117	19	20958	36	2449	1	0	16	61228	0	0	8	45	127	252
Met8636	881	38249	855	827	867	6	16	897	431	600	887	858	896	33	428	64	19	891	2833	15	15	64	648	877	109	24	91	22	843	56	20	15	835	867	667	19	118	532	725	20	138	139	140	1	0	0	51981	868	7	4	87	793	728	15	0	0	5	0	476	856	863	74	73	865	605	382	20968	106	2515	15	18	554	60926	2	3	842	533	612	739
Met8637	25	37857	21	15	0	2	2	41	4	15	31	4	39	18	13	2	1	34	2671	2	1	4	6	32	31	0	23	4	5	3	0	0	8	0	0	2	48	6	0	2	57	60	61	0	0	0	51521	25	0	0	4	330	282	2	0	0	0	0	3	5	12	5	5	25	122	24	20717	33	2421	2	0	16	60524	0	0	11	51	133	257
Met8642	469	10	447	419	459	4	3	485	68	305	477	450	486	37	62	19	4	481	3	3	4	12	263	469	63	0	27	5	437	2	7	3	430	458	384	6	50	180	378	6	58	62	63	61	1	0	37	459	5	4	10	405	352	5	5	0	0	0	105	446	454	9	8	458	211	62	466	34	167	3	5	358	77	20	3	436	150	224	301
Met8643	445	21	422	398	434	0	1	460	72	287	453	425	462	27	66	14	5	457	3	4	5	12	247	444	51	0	26	5	409	1	7	4	408	432	363	7	50	170	357	5	58	62	63	42	0	0	47	435	6	4	11	402	349	4	0	0	0	0	104	421	429	7	6	433	208	59	482	33	169	4	5	342	179	17	4	414	147	221	297
Met8650	0	1160	19	0	16	91	415	29	0	13	0	9	8	48	0	5	0	7	85	316	4	178	3	31	254	355	381	89	0	76	0	0	0	16	0	3	414	2	4	1	454	459	465	352	150	374	1669	1	1	4	3	393	331	2	476	3	105	104	0	0	0	73	75	0	193	84	1158	445	319	90	0	2	3076	6	2	0	118	181	327
Met8656	11	38867	13	8	17	371	812	19	1	52	12	9	21	143	15	9	0	20	2838	681	3	338	4	0	629	718	724	369	0	366	0	0	0	16	0	2	794	4	5	0	847	860	866	648	260	700	52597	11	0	5	4	720	608	2	856	5	446	421	0	0	0	356	365	10	503	363	21512	839	2847	372	0	10	62198	23	2	0	394	410	651
Met8657	13	38879	13	10	17	380	821	19	1	63	13	9	23	148	16	10	5	22	2838	690	9	347	9	0	638	725	732	378	1	375	6	1	1	17	0	8	803	4	5	1	856	869	875	658	267	707	52600	13	6	11	10	729	617	8	863	12	454	429	0	0	0	365	374	12	512	372	21521	848	2847	381	5	14	62203	32	7	1	403	418	662
Met8658	373	281	354	350	368	4	4	400	42	249	381	358	392	41	32	12	2	384	24	0	3	0	158	378	56	0	9	3	341	0	4	2	334	373	326	5	33	128	297	9	55	58	59	112	20	52	397	359	3	3	0	39	33	2	74	5	9	7	73	356	365	0	0	358	3	13	6	0	14	2	8	330	509	21	4	345	3	15	178
Met8659	383	640	362	359	375	2	3	409	44	255	391	372	402	48	36	14	2	394	41	0	3	0	161	386	66	0	10	3	365	0	4	2	342	381	333	5	33	132	304	9	55	58	59	122	20	51	910	368	3	3	0	40	34	2	73	5	8	6	75	365	374	0	0	367	3	17	73	0	86	2	13	337	1308	27	4	353	3	20	192
Met8663	0	37547	26	0	30	374	795	43	0	8	0	12	10	139	15	9	18	8	2752	672	23	343	14	48	618	730	716	371	6	368	19	18	18	34	18	25	774	2	22	19	834	844	847	622	275	710	51250	1	23	24	23	712	603	21	865	25	458	433	0	10	12	358	367	0	501	360	20736	822	2776	373	18	2	60049	9	8	1	397	417	643
Met8672	521	38579	502	495	514	124	544	549	154	363	529	503	540	52	154	118	11	532	2787	333	125	316	288	526	373	470	488	1	485	1	119	119	478	519	468	0	533	239	432	127	572	583	590	509	277	495	52261	503	0	110	1	41	34	117	605	122	211	208	193	503	512	3	3	501	0	11	21195	569	2586	23	118	471	61672	117	118	489	0	1	370
Met8684	383	14392	361	356	380	29	345	410	55	233	391	363	402	32	53	30	22	399	1040	234	45	182	162	384	188	277	302	38	346	15	34	21	336	391	332	26	341	134	305	41	369	376	393	317	137	304	19715	361	26	25	12	55	42	19	382	24	62	59	84	363	372	13	17	360	11	0	5271	361	407	39	25	340	23519	26	35	356	10	20	230
Met8690	21505	346	21122	15733	21545	21165	21352	21596	510	13081	21550	21377	21559	16853	446	17933	20988	21558	58	21251	21207	21276	21107	21404	7943	18750	19275	21199	21088	664	21182	20825	21349	21577	21450	21181	19246	10490	20709	21195	21242	21262	21387	20605	19490	19735	535	20809	21180	20958	21111	21516	21367	20958	20968	20717	466	482	1158	21512	21521	6	73	20736	21195	5271	0	20993	375	21198	20937	21414	588	1867	21183	21532	20873	21039	21469
Met8691	857	38326	833	803	853	36	32	883	399	579	865	839	873	51	391	75	36	869	2804	14	32	0	622	854	66	3	16	35	816	0	41	36	813	855	667	38	48	508	711	37	98	98	98	94	49	84	51839	825	36	37	43	760	699	36	106	33	34	33	445	839	848	0	0	822	569	361	20993	0	2445	33	36	565	61084	28	36	825	498	576	706
Met8696	2855	1067	2810	2179	2862	2462	2488	2887	197	1777	2867	2835	2874	1979	178	2021	2445	2875	219	2470	2473	2478	2642	2855	1056	2143	2214	2470	2776	263	2475	2429	2812	2870	2798	2468	2245	1269	2695	2474	2513	2522	2536	2466	2297	2290	1442	2783	2468	2448	2467	2780	2723	2449	2515	2421	167	169	319	2847	2847	14	86	2776	2586	407	375	2445	0	2470	2447	2786	1999	351	2470	2833	2513	2590	2709
Met8702	391	38703	369	365	383	0	3	418	51	271	399	379	410	53	55	17	1	402	2744	0	3	4	161	394	74	0	23	1	372	0	2	0	348	388	338	3	50	141	309	6	58	61	62	83	0	0	52369	375	2	1	3	198	169	1	15	2	3	4	90	372	381	2	2	373	23	39	21198	33	2470	0	11	343	61929	30	1	359	10	40	256
Met8704	21	38247	13	15	17	2	16	22	3	15	26	9	39	6	17	2	0	38	2689	2	11	15	1	31	29	0	25	12	0	8	6	0	0	26	0	9	56	13	4	10	58	64	69	17	0	0	51939	20	7	2	0	333	278	0	18	0	5	5	0	0	5	8	13	18	118	25	20937	36	2447	11	0	16	61158	0	6	11	48	129	260
Met8711	1	38721	27	1	30	342	540	45	2	19	1	15	9	126	15	6	16	8	2817	482	17	213	10	49	449	488	491	340	7	339	16	16	16	32	16	19	537	4	21	16	580	589	591	388	160	443	52524	3	19	16	16	686	587	16	554	16	358	342	2	10	14	330	337	2	471	340	21414	565	2786	343	16	0	61952	5	5	3	366	386	617
Met8714	62099	36	61030	45638	62254	61828	62226	62344	474	37652	62173	61778	62205	49030	6	52013	61267	62215	25	62003	61938	62083	61340	61822	23164	55472	55955	61921	60975	3945	61832	60830	61759	62343	62091	61865	56042	36284	59786	61886	61874	61928	62275	59782	56989	57155	247	60229	61859	61278	61684	62305	61817	61228	60926	60524	77	179	3076	62198	62203	509	1308	60049	61672	23519	588	61084	1999	61929	61158	61952	0	5783	61862	62270	60951	61205	62304
Met8719	10	2891	24	8	31	1	33	61	2	4	25	13	44	8	6	4	15	48	192	2	29	31	7	34	26	0	21	31	8	26	24	2	9	50	4	29	57	35	9	30	54	75	81	0	0	0	3989	9	24	4	2	331	267	0	2	0	20	17	6	23	32	21	27	9	117	26	1867	28	351	30	0	5	5783	0	14	35	62	121	257
Met8724	7	38661	20	5	17	2	4	35	2	53	12	15	21	45	15	4	0	16	2733	2	0	5	1	31	64	0	25	2	10	3	0	0	4	16	0	0	53	2	4	0	59	62	63	42	0	0	52303	8	0	0	0	329	280	0	3	0	3	4	2	2	7	4	4	8	118	35	21183	36	2470	1	6	5	61862	14	0	7	47	133	252
Met8726	0	38899	20	0	17	357	798	28	0	53	1	11	9	156	16	10	5	9	2840	668	9	324	10	31	626	704	713	356	5	355	6	1	2	16	0	8	780	2	5	0	833	846	852	656	260	692	52617	1	6	11	11	707	599	8	842	11	436	414	0	0	1	345	353	1	489	356	21532	825	2833	359	11	3	62270	35	7	0	379	396	638
