snp-dists 0.8.2	Met4849	Met4863	Met5668	Met5669	Met5687	Met5690	Met5722	Met5769	Met5771	Met5772	Met5778	Met5781	Met5782	Met5787	Met5796	Met5804	Met5810	Met5813	Met6294	Met7488	Met8572	Met8574	Met8580	Met8605	Met8606	Met8610	Met8611	Met8623	Met8625	Met8626	Met8646	Met8648	Met8654	Met8703	Met8713	Met8720	Met8727	Reference
Met5787	494	29	39	11930	17	26	10	21	15	26	11	18	76	0	13	17	24	15	83	31	10	17	13	11	7	11	58	16	12	20	22216	61	27	23209	23	27	26	23257
Met5796	95	14	9	1402	8	31	19	24	35	12	20	11	22	13	0	7	39	29	23	28	15	11	15	27	17	6	17	10	9	7	10746	19	20	8682	6	12	25	5958
Met5804	168	19	13	2600	5	20	11	13	12	4	7	6	29	17	7	0	75	70	26	38	9	12	32	16	6	3	31	4	7	1	12632	28	17	11398	5	29	42	8528
Met5810	497	16	12	2458	8	13	15	21	30	123	11	40	44	24	39	75	0	2	25	93	17	53	6	30	8	4	57	39	69	74	13360	21	56	11232	10	40	76	9034
Met5813	434	12	13	2231	5	13	4	9	11	102	2	51	53	15	29	70	2	0	26	88	10	53	23	10	2	2	44	28	67	64	12684	19	48	10549	6	29	66	8979
Met6294	340	35	47	11717	83	84	89	86	84	87	80	34	104	83	23	26	25	26	0	29	83	15	23	86	84	69	54	46	25	28	20852	77	22	22234	79	32	80	21542
Met7488	33	11	15	2155	11	30	26	29	49	91	23	34	41	31	28	38	93	88	29	0	25	20	55	42	20	14	30	42	67	55	12461	19	9	11137	9	42	17	7428
Met8572	574	26	42	12869	25	20	15	12	10	15	8	22	72	10	15	9	17	10	83	25	0	26	10	17	11	8	61	11	8	12	23205	62	40	24364	25	29	11	24222
Met8574	87	3	12	208	5	32	25	31	57	30	31	5	10	17	11	12	53	53	15	20	26	0	10	47	18	3	13	14	21	9	9442	16	5	22	4	4	22	4659
Met8580	343	13	14	1324	5	10	6	4	15	63	4	15	23	13	15	32	6	23	23	55	10	10	0	12	0	1	44	10	41	37	11209	19	22	8995	2	14	41	6273
Met8605	598	27	37	12884	22	34	10	20	11	10	12	34	81	11	27	16	30	10	86	42	17	47	12	0	11	16	67	16	13	14	23306	62	49	24398	23	31	7	24393
Met8606	566	21	39	12901	22	20	7	15	16	7	9	20	95	7	17	6	8	2	84	20	11	18	0	11	0	8	64	13	3	8	23248	60	30	24400	19	25	14	24286
Met8610	391	15	34	10855	19	14	16	10	10	20	5	14	56	11	6	3	4	2	69	14	8	3	1	16	8	0	44	4	3	4	20881	49	10	21561	19	16	11	21406
Met8611	251	24	32	2549	57	68	66	64	68	79	60	20	41	58	17	31	57	44	54	30	61	13	44	67	64	44	0	36	32	36	12440	48	18	10969	46	26	63	7959
Met8623	284	22	23	3680	13	23	16	12	14	18	8	15	46	16	10	4	39	28	46	42	11	14	10	16	13	4	36	0	7	6	15480	37	19	14657	15	27	28	13859
Met8625	152	22	16	2011	4	12	7	12	20	5	5	10	40	12	9	7	69	67	25	67	8	21	41	13	3	3	32	7	0	3	11807	25	24	10312	4	33	50	8243
Met8626	245	25	18	2869	7	19	12	14	16	3	12	12	35	20	7	1	74	64	28	55	12	9	37	14	8	4	36	6	3	0	13187	30	25	12028	9	29	56	9522
Met8646	61	13408	13272	16067	22075	23266	23029	23121	23316	23466	23251	10953	13303	22216	10746	12632	13360	12684	20852	12461	23205	9442	11209	23306	23248	20881	12440	15480	11807	13187	0	6934	9963	27676	20996	11473	22571	27885
Met8648	102	31	34	4664	57	59	65	58	63	65	60	20	61	61	19	28	21	19	77	19	62	16	19	62	60	49	48	37	25	30	6934	0	19	13180	55	29	63	11473
Met8654	42	6	15	1262	17	44	34	36	67	59	43	14	19	27	20	17	56	48	22	9	40	5	22	49	30	10	18	19	24	25	9963	19	0	9157	12	22	21	5680
Met8703	9738	12168	12333	104	23427	24444	24141	24321	24455	24585	24407	5192	12428	23209	8682	11398	11232	10549	22234	11137	24364	22	8995	24398	24400	21561	10969	14657	10312	12028	27676	13180	9157	0	21813	1110	23568	22727
Met8713	410	17	33	11032	16	17	23	29	24	21	23	7	71	23	6	5	10	6	79	9	25	4	2	23	19	19	46	15	4	9	20996	55	12	21813	0	19	26	21772
Met8720	167	9	21	552	22	35	30	26	37	69	27	15	41	27	12	29	40	29	32	42	29	4	14	31	25	16	26	27	33	29	11473	29	22	1110	19	0	45	8192
Met8727	451	26	36	12347	23	22	14	17	9	80	9	39	79	26	25	42	76	66	80	17	11	22	41	7	14	11	63	28	50	56	22571	63	21	23568	26	45	0	23978
Reference	6367	9453	9560	8337	23168	24330	23936	24183	24425	24521	24318	6950	10439	23257	5958	8528	9034	8979	21542	7428	24222	4659	6273	24393	24286	21406	7959	13859	8243	9522	27885	11473	5680	22727	21772	8192	23978	0
