snp-dists 0.8.2	Met4841	Met4861	Met4880	Met4886	Met4887	Met5657	Met5663	Met5673	Met5674	Met5678	Met5696	Met5701	Met5722	Met5723	Met5727	Met5730	Met5739	Met5750	Met5763	Met5787	Met5788	Met5800	Met5804	Met7489	Met8574	Met8576	Met8578	Met8580	Met8583	Met8592	Met8605	Met8616	Met8639	Met8649	Met8727	Reference
Met8574	266	187	287	5101	12965	484	533	322	191	293	231	416	352	254	520	218	328	258	1098	253	230	386	324	297	0	9	354	357	366	339	111677	243	177	250	103893	1882
Met8576	247	195	277	5430	13542	264	308	350	176	334	238	389	317	284	506	138	343	268	1101	110	250	174	173	320	9	0	315	339	342	357	116296	236	191	255	108498	1433
Met8578	265	187	299	6037	13753	580	640	402	183	309	214	488	389	314	586	224	134	265	703	238	425	243	227	349	354	315	0	9	13	344	113008	258	221	290	105303	1955
Met8580	256	183	297	6638	14263	345	410	416	183	298	205	537	395	306	562	162	112	261	716	231	419	228	228	337	357	339	9	0	6	339	115386	233	216	289	107692	2166
Met8583	286	218	323	6621	14243	318	371	428	207	335	233	464	414	338	487	171	149	285	728	265	458	258	254	376	366	342	13	6	0	374	115370	277	243	320	107701	2058
Met8592	114	164	241	5348	13495	74	211	129	59	60	126	210	333	89	154	109	382	44	1068	138	328	39	48	144	339	357	344	339	374	0	116376	113	108	165	108342	1595
Met8605	110140	112605	113083	18426	18022	116514	116948	116798	104867	116508	114887	25659	116662	114659	112300	92154	117067	116857	100578	114098	116130	110941	112757	115888	111677	116296	113008	115386	115370	116376	0	114208	115121	116152	144	117588
Met8616	42	16	109	6497	14027	4	60	45	14	36	1	217	192	32	27	28	199	10	590	40	170	46	56	32	243	236	258	233	277	113	114208	0	14	70	106391	3023
Met8639	41	12	198	6487	14124	21	174	36	10	37	2	282	186	8	17	9	152	24	725	12	151	7	9	38	177	191	221	216	243	108	115121	14	0	163	107513	2827
Met8649	116	80	101	5266	13419	706	709	146	82	137	79	215	211	122	406	241	287	45	1096	66	235	51	96	131	250	255	290	289	320	165	116152	70	163	0	108214	2125
Met8727	102520	104861	105138	9406	8584	108563	109012	108857	97504	108569	106968	21417	108885	106794	104315	85720	109093	108945	93427	106412	108376	103330	105055	108044	103893	108498	105303	107692	107701	108342	144	106391	107513	108214	0	109586
Reference	3012	1266	1159	8028	14847	1603	1394	1963	1263	1656	1489	1375	1664	1619	3904	1070	1482	1537	3758	5869	2132	6233	4801	1636	1882	1433	1955	2166	2058	1595	117588	3023	2827	2125	109586	0
