Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8686,CARD_v3.0.8_SRST2,CfxA_Bla,cfxA2.v2_352,100,178.15,,,0,966,0.481,69,352,
Met8686,CARD_v3.0.8_SRST2,Erm_MLS,ermG.v1_2144,100,24.035,,,0,735,0.091,267,2144,
Met8686,CARD_v3.0.8_SRST2,TetX_Tet,tetX_2352,100,85.928,2snp,,0.171,1167,0.163,385,2352,
Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8574,CARD_v3.0.8_SRST2,VEB_Bla,VEB-9_1818,100,161.058,,,0,900,0.038,150,1818,
Met8574,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,100,554.583,,,0,840,0.018,338,2283,
Met8574,CARD_v3.0.8_SRST2,VgaA_MLS,vgaA_2215,100,188.516,24snp,,1.53,1569,0.141,317,2215,
Met8574,CARD_v3.0.8_SRST2,LnuA_MLS,lnuA_2161,100,9.084,3snp,,0.617,486,0.25,270,2161,
Met8574,CARD_v3.0.8_SRST2,StrB_AGly,strB.v1_2410,100,1112.099,,,0,837,0.022,392,2410,
Met8574,CARD_v3.0.8_SRST2,OXA_Bla,OXA-9.v1_1020,100,206.521,,,0,840,0.046,117,1020,
Met8574,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrG_2405,100,29.517,,,0,498,0.067,390,2405,
Met8574,CARD_v3.0.8_SRST2,CatBx_Phe,CatB4.v1_2412,99.089,259.305,5holes,edge0.0,0,549,0.028,394,2412,
Met8574,CARD_v3.0.8_SRST2,DHA_Bla,DHA-12_638,95.088,13.655,70snp56holes,,6.458,1140,0.167,81,638,
Met8574,CARD_v3.0.8_SRST2,PC1_Bla,PC1-6_1370,100,250.54,5snp,,0.591,846,0.497,119,1370,
Met8574,CARD_v3.0.8_SRST2,SAT_AGly,sat-2_193,100,144.236,,,0,525,0.025,29,193,
Met8574,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,230.643,1snp,,0.186,537,0.069,1,1,
Met8574,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,258.527,,,0,606,0.027,3,52,
Met8574,CARD_v3.0.8_SRST2,Cat_Phe,catIII_2253,100,235.474,,,0,642,0.077,326,2253,
Met8574,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,325.413,,,0,534,0.029,4,92,
Met8574,CARD_v3.0.8_SRST2,TetA_Tet,tetA.v1_2317,100,191.495,1snp,,0.078,1275,0.255,368,2317,
Met8574,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,897.67,,,0,762,0.033,6,128,
Met8574,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA15_101,100,320.409,8snp,,1.01,792,0.475,5,101,
Met8574,CARD_v3.0.8_SRST2,MphC_MLS,mphC.v1_2177,100,46.152,,,0,900,0.051,284,2177,
Met8574,CARD_v3.0.8_SRST2,TEM_Bla,TEM-1_1667,100,1150.096,1snp,,0.116,861,0.354,143,1667,
Met8574,CARD_v3.0.8_SRST2,Cmr_Phe,cmx_2268,100,777.063,,,0,1176,0.029,331,2268,
Met8574,CARD_v3.0.8_SRST2,TetB_Tet,tetB.v2_2325,100,270.021,6snp,,0.498,1206,0.106,369,2325,
Met8574,CARD_v3.0.8_SRST2,TetD_Tet,tetD_2331,100,19.903,62snp,,5.232,1185,0.377,371,2331,
Met8574,CARD_v3.0.8_SRST2,TetW_Tet,tetW/N/W_2350,99.583,53.374,52snp2indel7holes,edge0.0,2.718,1920,0.333,384,2350,
Met8574,CARD_v3.0.8_SRST2,CTX-M_Bla,CTX-M-14_625,100,93.961,,,0,876,0.041,79,625,
Met8574,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,1067.573,,,0,816,0.02,11,148,
Met8574,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,925.015,1snp,,0.124,804,0.257,10,146,
Met8574,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,1112.031,1snp,,0.119,837,0.022,13,172,
Met8574,CARD_v3.0.8_SRST2,StrA_AGly,strA.v1_2409,100,925.092,,,0,804,0.257,391,2409,
Met8574,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,234.258,1snp,,0.11,909,0.478,7,136,
Met8574,CARD_v3.0.8_SRST2,TetM_Tet,tetM.v2_2343,99.844,119.705,12snp3indel,,0.625,1920,0.3,378,2343,
Met8574,CARD_v3.0.8_SRST2,MsrA_MLS,msrA.v1_2191,100,574.762,,,0,1467,0.079,296,2191,
Met8574,CARD_v3.0.8_SRST2,Erm_MLS,ermA_2135,100,58.37,11snp,,1.503,732,0.492,267,2135,
Met8574,CARD_v3.0.8_SRST2,TetJ_Tet,tetJ_2338,100,393.269,16snp,,1.337,1197,0.418,375,2338,
Met8574,CARD_v3.0.8_SRST2,TetK_Tet,tetK_2339,100,5.343,1snp,edge1.0,0.072,1380,0.333,376,2339,
Met8687,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,58.093,,,0,816,0.05,11,148,
Met8687,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,46.453,1snp,,0.124,804,0.1,10,146,
Met8687,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,56.125,1snp,,0.119,837,0.043,13,172,
Met8687,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,99.524,5.356,4holes,,0,840,0.2,338,2283,
Met8687,CARD_v3.0.8_SRST2,TetM_Tet,tetM.v1_2342,100,38.898,39snp,,2.031,1920,0.5,378,2342,
Met8687,CARD_v3.0.8_SRST2,Cmr_Phe,cmx_2268,100,64.579,,,0,1176,0.095,331,2268,
Met8687,CARD_v3.0.8_SRST2,OXA_Bla,OXA-1_999,100,13.133,,edge1.0,0,831,0.111,117,999,
Met8687,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,90.069,5.991,143holes,,0,1440,0.333,3,91,
Met8687,CARD_v3.0.8_SRST2,TetO_Tet,tetO_2344,100,13.535,5snp,,0.26,1920,0.444,379,2344,
Met8687,CARD_v3.0.8_SRST2,StrB_AGly,strB.v1_2410,100,56.128,,,0,837,0.043,392,2410,
Met8687,CARD_v3.0.8_SRST2,CARB_Bla,CARB-5_337,100,35.144,1snp,,0.111,897,0.333,62,337,
Met8687,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrG_2405,100,14.236,,,0,498,0.167,390,2405,
Met8687,CARD_v3.0.8_SRST2,TetW_Tet,tetW_2351,100,24.414,29snp,,1.51,1920,0.5,384,2351,
Met8687,CARD_v3.0.8_SRST2,StrA_AGly,strA.v1_2409,100,46.453,,,0,804,0.1,391,2409,
Met8687,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,20.896,,,0,762,0.091,6,128,
Met8687,CARD_v3.0.8_SRST2,CfxA_Bla,cfxA6_353,99.799,8.212,4snp2indel,,0.402,996,0.455,69,353,
Met8687,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,95.833,4.154,1snp33holes,edge0.0,0.132,792,0.5,5,93,
Met8687,CARD_v3.0.8_SRST2,Erm_MLS,ermB.v1_2136,100,3.867,,edge2.0,0,738,0.4,267,2136,
Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8575,CARD_v3.0.8_SRST2,LnuA_MLS,lnuA_2161,90.947,7.384,3snp44holes,edge1.0,0.679,486,0.25,270,2161,
Met8575,CARD_v3.0.8_SRST2,Sul_Sul,sul2_2284,100,2.938,,edge1.0,0,816,0.5,338,2284,
Met8575,CARD_v3.0.8_SRST2,TetJ_Tet,tetJ_2338,95.155,3.737,18snp58holes,edge0.0,1.58,1197,0.5,375,2338,
Met8575,CARD_v3.0.8_SRST2,TetB_Tet,tetB.v1_2324,100,12.802,6snp,,0.498,1206,0.5,369,2324,
Met8575,CARD_v3.0.8_SRST2,SAT_AGly,sat-2_193,100,6.663,,,0,525,0.5,29,193,
Met8575,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,8.868,1snp,edge2.0,0.186,537,0.2,1,1,
Met8575,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,92.986,5.366,101holes,edge1.0,0,1440,0.5,3,91,
Met8575,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrC_2400,100,9.667,4snp,edge2.0,0.823,486,0.5,390,2400,
Met8575,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.369,6.639,3snp5indel,,0.379,792,0.5,5,93,
Met8575,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,96.982,5.082,23holes,,0,762,0.333,6,128,
Met8575,CARD_v3.0.8_SRST2,MsrA_MLS,msrA.v1_2191,100,10.208,6snp,,0.409,1467,0.4,296,2191,
Met8575,CARD_v3.0.8_SRST2,Cat_Phe,catIII_2253,100,9.031,4snp,edge1.0,0.623,642,0.429,326,2253,
Met8575,CARD_v3.0.8_SRST2,DHA_Bla,DHA-3_650,90.351,3.608,53snp2indel109holes,edge1.0,5.141,1140,0.5,81,650,
Met8575,CARD_v3.0.8_SRST2,PC1_Bla,PC1-6_1370,100,8.195,23snp,,2.719,846,0.5,119,1370,
Met8575,CARD_v3.0.8_SRST2,MphC_MLS,mphC.v1_2177,96.333,4.751,33holes,edge0.0,0,900,0.4,284,2177,
Met8688,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,100,24.4,,,0,840,0.067,338,2283,
Met8688,CARD_v3.0.8_SRST2,Cmr_Phe,cmx_2268,100,499.322,,,0,1176,0.043,331,2268,
Met8688,CARD_v3.0.8_SRST2,StrB_AGly,strB.v1_2410,100,489.247,,,0,837,0.022,392,2410,
Met8688,CARD_v3.0.8_SRST2,StrA_AGly,strA.v1_2409,100,372.276,,,0,804,0.019,391,2409,
Met8688,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrG_2405,100,63.673,,,0,498,0.063,390,2405,
