user_genome,domain,phylum,class,order,family,genus,species,Unique_ptid,site_specific,Survey_Period
Met4861_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,28,An,3
Met4863_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Gulosibacter,s__Gulosibacter sp904848455,28,Fg,3
Met4866_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus_C,s__Peptoniphilus_C coxii,23,Ea,3
Met4868_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__UMGS693,s__UMGS693 sp900544555,23,An,3
Met4870_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,53,N,3
Met4871_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus auricularis,53,Ea,3
Met4872_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus fermentum,53,Ic,3
Met4873_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,53,An,3
Met4874_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,53,Tw,3
Met4875_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,53,Fg,3
Met4877_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,46,N,3
Met4879_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,46,Ic,3
Met4880_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae,g__Tissierella,s__Tissierella carlieri,46,An,3
Met4882_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__,s__,46,Fg,3
Met4884_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium kefirresidentii,35,N,3
Met4886_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A sp018364065,35,Ic,3
Met4887_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,35,An,3
Met4888_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus octavius,35,Tw,3
Met5656_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,2,N,1
Met5657_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,2,Ic,1
Met5658_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella porci,2,An,1
Met5659_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,2,Tw,1
Met5660_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermabacteraceae,g__Dermabacter,s__Dermabacter hominis,2,Fg,1
Met5661_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,46,Fg,1
Met5662_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,46,Tw,1
Met5663_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae,g__Tissierella,s__Tissierella carlieri,46,An,1
Met5664_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,46,Ic,1
Met5665_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium striatum,46,N,1
Met5666_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium haemomassiliense,28,Fg,1
Met5667_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,28,Tw,1
Met5668_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides merdae,28,Ic,1
Met5669_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,28,N,1
Met5670_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,4,Fg,1
Met5673_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,4,Ic,1
Met5674_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella corporis,4,An,1
Met5675sub_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,48,N,1
Met5676_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,48,Fg,1
Met5678_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,48,An,1
Met5680_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus intestini,14,An,1
Met5681_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,14,Fg,1
Met5682_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,14,Tw,1
Met5683_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,14,N,1
Met5684_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__,15,Fg,1
Met5685_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,15,Tw,1
Met5686_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp015259235,15,Ic,1
Met5687_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia cardiffensis,15,An,1
Met5688_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus marasmi,35,Fg,1
Met5689_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus rhamnosus,35,An,1
Met5690_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,35,Ic,1
Met5694_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Fournierella,s__Fournierella sp900543285,23,Ic,1
Met5695_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__,23,N,1
Met5696_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA1417,s__UBA1417 sp900549945,23,An,1
Met5697_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,35,Tw,1
Met5698_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,53,Fg,1
Met5699_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__,s__,53,Tw,1
Met5700_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,53,An,1
Met5701_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,53,Ic,1
Met5703_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,5,N,2
Met5704_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_B,s__Campylobacter_B ureolyticus,5,Ic,2
Met5705_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus_A,s__Peptoniphilus_A harei,5,Fg,2
Met5706_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques,5,An,2
Met5707_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Ezakiella,s__Ezakiella sp900540185,5,Tw,2
Met5708_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,14,Tw,2
Met5709_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,14,Ic,2
Met5711_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,14,Fg,2
Met5712_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,14,An,2
Met5713_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus simulans,15,Tw,2
Met5714_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Dethiosulfovibrionaceae,g__Pyramidobacter,s__,15,An,2
Met5715_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques,15,Ic,2
Met5716_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,15,Fg,2
Met5717_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__,15,N,2
Met5718_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster clostridioformis,2,An,2
Met5720_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Gleimia,s__Gleimia hominis,2,Fg,2
Met5721_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,2,N,2
Met5722_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,2,Ic,2
Met5723_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Oligella,s__Oligella urethralis,4,An,2
Met5724_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,4,N,2
Met5725_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium ravenspurgense,4,Fg,2
Met5726_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,4,Tw,2
Met5727_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,4,Ic,2
Met5728_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola vulgatus,2,An,3
Met5730_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__DTU023,g__SFFI01,s__SFFI01 sp004556925,2,Fg,3
Met5731_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,2,N,3
Met5732_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera sp001546855,2,Ic,3
Met5734_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus haemolyticus,15,Ic,3
Met5735_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__Peptostreptococcus stomatis,15,N,3
Met5736_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,15,Tw,3
Met5737_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Oligella,s__Oligella urethralis,15,An,3
Met5738_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__S5-A14a,s__S5-A14a sp000758905,5,Tw,3
Met5739_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp900541485,5,Fg,3
Met5740_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Bordetella,s__Bordetella trematum,5,Ic,3
Met5741_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,5,An,3
Met5742_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,5,N,3
Met5743_refinement_out_redo_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,14,Tw,3
Met5744_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,14,Fg,3
Met5745_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,14,N,3
Met5746_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,14,Ic,3
Met5747_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium accolens,4,N,3
Met5748_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,4,Fg,3
Met5749_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,4,An,3
Met5750_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,4,Ic,3
Met5751_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,4,Tw,3
Met5752_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,54,Fg,1
Met5753_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,54,Ic,1
Met5754_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,54,N,1
